time,height,velocity,pitch
4.940000,31.693313,1.133941,2.000000
4.950000,31.681974,1.133940,2.000000
4.960000,31.670634,1.133939,2.000000
4.970000,31.659295,1.133939,2.000000
4.980000,31.647955,1.133938,2.000000
4.990000,31.636616,1.133937,2.000000
5.000000,31.625277,1.133936,2.000000
5.010000,31.613937,1.133936,2.000000
5.020000,31.602598,1.133935,2.000000
5.030000,31.591259,1.133934,2.000000
5.040000,31.579919,1.133933,2.000000
5.050000,31.568580,1.133933,2.000000
5.060000,31.557241,1.133932,2.000000
5.070000,31.545901,1.133931,2.000000
5.080000,31.534562,1.133930,2.000000
5.090000,31.523223,1.133930,2.000000
5.100000,31.511883,1.133929,2.000000
5.110000,31.500544,1.133928,2.000000
5.120000,31.489205,1.133927,2.000000
5.130000,31.477866,1.133927,2.000000
5.140000,31.466526,1.133926,2.000000
5.150000,31.455187,1.133925,2.000000
5.160000,31.443848,1.133924,2.000000
5.170000,31.432509,1.133924,2.000000
5.180000,31.421169,1.133923,2.000000
5.190000,31.409830,1.133922,2.000000
5.200000,31.398491,1.133921,2.000000
5.210000,31.387152,1.133921,2.000000
5.220000,31.375813,1.133920,2.000000
5.230000,31.364473,1.133919,2.000000
5.240000,31.353134,1.133918,2.000000
5.250000,31.341795,1.133918,2.000000
5.260000,31.330456,1.133917,2.000000
5.270000,31.319117,1.133916,2.000000
5.280000,31.307778,1.133915,2.000000
5.290000,31.296438,1.133914,2.000000
5.300000,31.285099,1.133914,2.000000
5.310000,31.273760,1.133913,2.000000
5.320000,31.262421,1.133912,2.000000
5.330000,31.251082,1.133911,2.000000
5.340000,31.239743,1.133911,2.000000
5.350000,31.228404,1.133910,2.000000
5.360000,31.217065,1.133909,2.000000
5.370000,31.205726,1.133908,2.000000
5.380000,31.194386,1.133908,2.000000
5.390000,31.183047,1.133907,2.000000
5.400000,31.171708,1.133906,2.000000
5.410000,31.160369,1.133905,2.000000
5.420000,31.149030,1.133905,2.000000
5.430000,31.137691,1.133904,2.000000
5.440000,31.126352,1.133903,2.000000
5.450000,31.115013,1.133902,2.000000
5.460000,31.103674,1.133902,2.000000
5.470000,31.092335,1.133901,2.000000
5.480000,31.080996,1.133900,2.000000
5.490000,31.069657,1.133899,2.000000
5.500000,31.058318,1.133899,2.000000
5.510000,31.046979,1.133898,2.000000
5.520000,31.035640,1.133897,2.000000
5.530000,31.024301,1.133896,2.000000
5.540000,31.012962,1.133896,2.000000
5.550000,31.001623,1.133895,2.000000
5.560000,30.990284,1.133894,2.000000
5.570000,30.978945,1.133893,2.000000
5.580000,30.967607,1.133893,2.000000
5.590000,30.956268,1.133892,2.000000
5.600000,30.944929,1.133891,2.000000
5.610000,30.933590,1.133890,2.000000
5.620000,30.922251,1.133890,2.000000
5.630000,30.910912,1.133889,2.000000
5.640000,30.899573,1.133888,2.000000
5.650000,30.888234,1.133887,2.000000
5.660000,30.876895,1.133887,2.000000
5.670000,30.865557,1.133886,2.000000
5.680000,30.854218,1.133885,2.000000
5.690000,30.842879,1.133884,2.000000
5.700000,30.831540,1.133883,2.000000
5.710000,30.820201,1.133883,2.000000
5.720000,30.808862,1.133882,2.000000
5.730000,30.797524,1.133881,2.000000
5.740000,30.786185,1.133880,2.000000
5.750000,30.774846,1.133880,2.000000
5.760000,30.763507,1.133879,2.000000
5.770000,30.752168,1.133878,2.000000
5.780000,30.740830,1.133877,2.000000
5.790000,30.729491,1.133877,2.000000
5.800000,30.718152,1.133876,2.000000
5.810000,30.706813,1.133875,2.000000
5.820000,30.695475,1.133874,2.000000
5.830000,30.684136,1.133874,2.000000
5.840000,30.672797,1.133873,2.000000
5.850000,30.661458,1.133872,2.000000
5.860000,30.650120,1.133871,2.000000
5.870000,30.638781,1.133871,2.000000
5.880000,30.627442,1.133870,2.000000
5.890000,30.616104,1.133869,2.000000
5.900000,30.604765,1.133868,2.000000
5.910000,30.593426,1.133868,2.000000
5.920000,30.582088,1.133867,2.000000
5.930000,30.570749,1.133866,2.000000
5.940000,30.559410,1.133865,2.000000
5.950000,30.548072,1.133865,2.000000
5.960000,30.536733,1.133864,2.000000
5.970000,30.525394,1.133863,2.000000
5.980000,30.514056,1.133862,2.000000
5.990000,30.502717,1.133862,2.000000
6.000000,30.491378,1.133861,2.000000
6.010000,30.480040,1.133860,2.000000
6.020000,30.468701,1.133859,2.000000
6.030000,30.457363,1.133859,2.000000
6.040000,30.446024,1.133858,2.000000
6.050000,30.434686,1.133857,2.000000
6.060000,30.423347,1.133856,2.000000
6.070000,30.412008,1.133856,2.000000
6.080000,30.400670,1.133855,2.000000
6.090000,30.389331,1.133854,2.000000
6.100000,30.377993,1.133853,2.000000
6.110000,30.366654,1.133852,2.000000
6.120000,30.355316,1.133852,2.000000
6.130000,30.343977,1.133851,2.000000
6.140000,30.332639,1.133850,2.000000
6.150000,30.321300,1.133849,2.000000
6.160000,30.309962,1.133849,2.000000
6.170000,30.298623,1.133848,2.000000
6.180000,30.287285,1.133847,2.000000
6.190000,30.275946,1.133846,2.000000
6.200000,30.264608,1.133846,2.000000
6.210000,30.253269,1.133845,2.000000
6.220000,30.241931,1.133844,2.000000
6.230000,30.230593,1.133843,2.000000
6.240000,30.219254,1.133843,2.000000
6.250000,30.207916,1.133842,2.000000
6.260000,30.196577,1.133841,2.000000
6.270000,30.185239,1.133840,2.000000
6.280000,30.173901,1.133840,2.000000
6.290000,30.162562,1.133839,2.000000
6.300000,30.151224,1.133838,2.000000
6.310000,30.139885,1.133837,2.000000
6.320000,30.128547,1.133837,2.000000
6.330000,30.117209,1.133836,2.000000
6.340000,30.105870,1.133835,2.000000
6.350000,30.094532,1.133834,2.000000
6.360000,30.083194,1.133834,2.000000
6.370000,30.071855,1.133833,2.000000
6.380000,30.060517,1.133832,2.000000
